day,insurance,visitId,lengthPagecount,discount,whoweare,catalog,hour,application,lengthSeconds,howtojoin,referrerType
Tuesday,FALSE,1697,4,FALSE,FALSE,FALSE,10,FALSE,360,FALSE,NA
Tuesday,FALSE,1699,12,FALSE,FALSE,FALSE,10,FALSE,1200,FALSE,NA
Tuesday,FALSE,1700,4,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,1701,9,FALSE,FALSE,FALSE,10,FALSE,720,FALSE,NA
Tuesday,FALSE,1705,7,FALSE,FALSE,FALSE,10,FALSE,600,FALSE,NA
Tuesday,FALSE,1706,2,FALSE,FALSE,FALSE,10,FALSE,840,FALSE,NA
Tuesday,FALSE,1710,3,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,Other
Tuesday,FALSE,1711,4,FALSE,FALSE,TRUE,10,FALSE,420,FALSE,Catalogue
Tuesday,FALSE,1717,2,FALSE,FALSE,FALSE,10,FALSE,120,FALSE,NA
Tuesday,FALSE,1719,6,FALSE,FALSE,FALSE,10,FALSE,480,FALSE,Catalogue
Tuesday,FALSE,1724,3,TRUE,FALSE,FALSE,10,FALSE,720,FALSE,NA
Tuesday,FALSE,1726,3,FALSE,FALSE,FALSE,10,FALSE,360,FALSE,Catalogue
Tuesday,FALSE,1731,5,FALSE,FALSE,FALSE,10,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,1736,6,FALSE,FALSE,FALSE,11,FALSE,660,FALSE,NA
Tuesday,FALSE,1740,5,FALSE,FALSE,FALSE,11,FALSE,300,FALSE,Fulltext
Tuesday,FALSE,1743,3,FALSE,FALSE,FALSE,11,FALSE,120,FALSE,Other
Tuesday,FALSE,1744,3,FALSE,FALSE,FALSE,11,FALSE,660,FALSE,NA
Tuesday,FALSE,1745,4,FALSE,FALSE,FALSE,11,FALSE,240,FALSE,Fulltext
Tuesday,FALSE,1750,4,FALSE,FALSE,FALSE,11,FALSE,420,FALSE,OwnWebs
Tuesday,FALSE,1751,10,FALSE,FALSE,TRUE,11,FALSE,540,FALSE,Catalogue
Tuesday,FALSE,1752,8,TRUE,FALSE,FALSE,11,FALSE,1320,FALSE,NA
Tuesday,FALSE,1754,2,FALSE,FALSE,FALSE,11,FALSE,180,FALSE,Fulltext
Tuesday,FALSE,1765,3,FALSE,FALSE,FALSE,11,FALSE,120,FALSE,NA
Tuesday,FALSE,1768,4,FALSE,FALSE,FALSE,11,FALSE,180,FALSE,NA
Tuesday,FALSE,1769,3,FALSE,FALSE,FALSE,11,FALSE,300,FALSE,Fulltext
Tuesday,FALSE,1773,5,FALSE,FALSE,FALSE,11,FALSE,240,FALSE,NA
Tuesday,FALSE,1776,3,FALSE,FALSE,FALSE,11,FALSE,120,FALSE,Catalogue
Tuesday,FALSE,1779,2,FALSE,FALSE,FALSE,11,FALSE,840,FALSE,NA
Tuesday,FALSE,1782,3,FALSE,FALSE,FALSE,12,FALSE,600,FALSE,NA
Tuesday,TRUE,1786,29,FALSE,TRUE,FALSE,12,FALSE,1620,FALSE,Fulltext
Tuesday,FALSE,1790,3,FALSE,FALSE,FALSE,12,FALSE,660,FALSE,NA
Tuesday,FALSE,1795,11,FALSE,FALSE,FALSE,12,FALSE,2160,FALSE,NA
Tuesday,FALSE,1797,3,FALSE,FALSE,FALSE,12,FALSE,180,FALSE,Catalogue
Tuesday,FALSE,1803,3,FALSE,FALSE,FALSE,12,FALSE,180,FALSE,NA
Tuesday,FALSE,1809,2,FALSE,FALSE,FALSE,12,FALSE,120,FALSE,Fulltext
Tuesday,FALSE,1814,4,FALSE,FALSE,FALSE,12,FALSE,540,FALSE,NA
Tuesday,FALSE,1815,3,FALSE,FALSE,FALSE,12,FALSE,960,FALSE,NA
Tuesday,FALSE,1821,5,FALSE,FALSE,FALSE,12,FALSE,360,FALSE,Fulltext
Tuesday,FALSE,1831,2,FALSE,FALSE,TRUE,13,FALSE,120,FALSE,Catalogue
